XRT4598;23/05/2023;07:56;
PQM7123;23/05/2023;10:09;
KLM9367;23/05/2023;09:15;
WXS8274;23/05/2023;08:42;
TRN5421;23/05/2023;10:50;
HYU6512;23/05/2023;07:04;
QWE4892;23/05/2023;09:37;
PLT7309;23/05/2023;08:01;
RTY1025;23/05/2023;11:20;
BNM9483;23/05/2023;10:17;
ZXC7419;23/05/2023;07:47;
VBN3654;23/05/2023;09:28;
UIO8547;23/05/2023;08:09;
DFG9526;23/05/2023;07:36;
HJK9638;23/05/2023;09:03;
CVB7410;23/05/2023;08:24;
MNB8564;23/05/2023;11:14;
QAZ4269;23/05/2023;10:31;
POI9375;23/05/2023;07:12;
LKP3574;23/05/2023;08:55;
NBV9842;23/05/2023;09:47;
POI3659;23/05/2023;10:38;
MNB7521;23/05/2023;07:18;
QWE9510;23/05/2023;08:49;
ZXC1592;23/05/2023;09:22;
RTY8573;23/05/2023;10:44;
ASD7240;23/05/2023;07:28;
UIO4265;23/05/2023;08:51;
DFG1037;23/05/2023;11:34;
JLK5396;23/05/2023;08:21;
XRT2584;23/05/2023;07:08;
PQM6147;23/05/2023;10:19;
KLM7529;23/05/2023;09:07;
WXS6390;23/05/2023;08:33;
TRN4206;23/05/2023;07:01;
HYU8601;23/05/2023;10:58;
QWE7582;23/05/2023;10:11;
PLT6047;23/05/2023;08:46;
ASD3589;23/05/2023;11:03;
RTY2394;23/05/2023;09:34;
BNM7680;23/05/2023;07:26;
UIO4265;23/05/2023;08:51;
DFG1037;23/05/2023;11:34;
JLK3276;23/05/2023;07:56;
XRT6548;23/05/2023;10:09;
PQM4157;23/05/2023;09:15;
KLM8369;23/05/2023;08:42;
WXS9721;23/05/2023;10:50;
TRN1862;23/05/2023;07:04;
